Date,Cases
2020-10-01T00:00:00Z,57784
2020-10-02T00:00:00Z,57794
2020-10-03T00:00:00Z,57800
2020-10-04T00:00:00Z,57812
2020-10-05T00:00:00Z,57819
2020-10-06T00:00:00Z,57830
2020-10-07T00:00:00Z,57840
2020-10-08T00:00:00Z,57849
2020-10-09T00:00:00Z,57859
2020-10-10T00:00:00Z,57866
2020-10-11T00:00:00Z,57876
2020-10-12T00:00:00Z,57880
2020-10-13T00:00:00Z,57884
2020-10-14T00:00:00Z,57889
2020-10-15T00:00:00Z,57892
2020-10-16T00:00:00Z,57901
2020-10-17T00:00:00Z,57904
2020-10-18T00:00:00Z,57911
2020-10-19T00:00:00Z,57915
2020-10-20T00:00:00Z,57921
2020-10-21T00:00:00Z,57933
2020-10-22T00:00:00Z,57941
2020-10-23T00:00:00Z,57951
2020-10-24T00:00:00Z,57965
2020-10-25T00:00:00Z,57970
2020-10-26T00:00:00Z,57973
2020-10-27T00:00:00Z,57980
2020-10-28T00:00:00Z,57987
2020-10-29T00:00:00Z,57994
2020-10-30T00:00:00Z,58003
2020-10-31T00:00:00Z,58015
2020-11-01T00:00:00Z,58019
2020-11-02T00:00:00Z,58020
2020-11-03T00:00:00Z,58029
2020-11-04T00:00:00Z,58036
2020-11-05T00:00:00Z,58043
2020-11-06T00:00:00Z,58047
2020-11-07T00:00:00Z,58054
2020-11-08T00:00:00Z,58056
2020-11-09T00:00:00Z,58064
2020-11-10T00:00:00Z,58073
2020-11-11T00:00:00Z,58091
2020-11-12T00:00:00Z,58102
2020-11-13T00:00:00Z,58114
2020-11-14T00:00:00Z,58116
2020-11-15T00:00:00Z,58119
2020-11-16T00:00:00Z,58124
2020-11-17T00:00:00Z,58130
2020-11-18T00:00:00Z,58135
2020-11-19T00:00:00Z,58139
2020-11-20T00:00:00Z,58143
2020-11-21T00:00:00Z,58148
2020-11-22T00:00:00Z,58160
2020-11-23T00:00:00Z,58165
2020-11-24T00:00:00Z,58183
2020-11-25T00:00:00Z,58190
2020-11-26T00:00:00Z,58195
2020-11-27T00:00:00Z,58199
2020-11-28T00:00:00Z,58205
2020-11-29T00:00:00Z,58213
2020-11-30T00:00:00Z,58218
2020-12-01T00:00:00Z,58228
2020-12-02T00:00:00Z,58230
2020-12-03T00:00:00Z,58239
2020-12-04T00:00:00Z,58242
2020-12-05T00:00:00Z,58255
2020-12-06T00:00:00Z,58260
2020-12-07T00:00:00Z,58273
2020-12-08T00:00:00Z,58285
